X;Y;X;Y
-6;3;-6;3
-5.61908;3.27355;6;-3
-5.16897;3.36598;6;3
-4.65737;3.29741;-6;-3
-4.09196;3.08798;;
-3.48043;2.75779;;
-2.83047;2.32698;;
-2.14975;1.81567;;
-1.44598;1.24399;;
-0.726834;0.632056;;
-4.44E-16;8.88E-16;;
0.726834;-0.632056;;
1.44598;-1.24399;;
2.14975;-1.81567;;
2.83047;-2.32698;;
3.48043;-2.75779;;
4.09196;-3.08798;;
4.65737;-3.29741;;
5.16897;-3.36598;;
5.61908;-3.27355;;
6;-3;;
6.14605;-2.81471;;
6.27673;-2.5932;;
6.39203;-2.33948;;
6.49196;-2.0576;;
6.57652;-1.75156;;
6.6457;-1.4254;;
6.69951;-1.08313;;
6.73794;-0.728798;;
6.761;-0.366411;;
6.76869;3.33E-16;;
6.761;0.366411;;
6.73794;0.728798;;
6.69951;1.08313;;
6.6457;1.4254;;
6.57652;1.75156;;
6.49196;2.0576;;
6.39203;2.33948;;
6.27673;2.5932;;
6.14605;2.81471;;
6;3;;
5.61908;3.27355;;
5.16897;3.36598;;
4.65737;3.29741;;
4.09196;3.08798;;
3.48043;2.75779;;
2.83047;2.32698;;
2.14975;1.81567;;
1.44598;1.24399;;
0.726834;0.632056;;
2.22E-16;2.22E-16;;
-0.726834;-0.632056;;
-1.44598;-1.24399;;
-2.14975;-1.81567;;
-2.83047;-2.32698;;
-3.48043;-2.75779;;
-4.09196;-3.08798;;
-4.65737;-3.29741;;
-5.16897;-3.36598;;
-5.61908;-3.27355;;
-6;-3;;
-6.14605;-2.81471;;
-6.27673;-2.5932;;
-6.39203;-2.33948;;
-6.49196;-2.0576;;
-6.57652;-1.75156;;
-6.6457;-1.4254;;
-6.69951;-1.08313;;
-6.73794;-0.728798;;
-6.761;-0.366411;;
-6.76869;-2.22E-16;;
-6.761;0.366411;;
-6.73794;0.728798;;
-6.69951;1.08313;;
-6.6457;1.4254;;
-6.57652;1.75156;;
-6.49196;2.0576;;
-6.39203;2.33948;;
-6.27673;2.5932;;
-6.14605;2.81471;;
